№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua
11,"Переліки регуляторних актів із зазначенням дати набрання чинності, строку проведення базового, повторного та періодичного відстеження їх результативності та інформації про місце їх оприлюднення","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D0%B7-%D0%B7%D0%B0%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F%D0%BC-%D0%B4%D0%B0%D1%82%D0%B8-%D0%BD%D0%B0%D0%B1%D1%80%D0%B0%D0%BD%D0%BD%D1%8F-%D1%87%D0%B8%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%81%D1%82%D1%80%D0%BE%D0%BA%D1%83-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE
12,"План діяльності з підготовки проектів регуляторних актів із зазначенням видів і назв проектів, цілей їх прийняття, строків підготовки проектів, найменування органів і підрозділів, відповідальних за розроблення проектів регуляторних актів, дату їх внесення на розгляд регуляторного органу та посилання на місце оприлюднення","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%BB%D0%B0%D0%BD-%D0%B4%D1%96%D1%8F%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D0%B7-%D0%BF%D1%96%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B8-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D1%96%D0%B2-%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D0%B7-%D0%B7%D0%B0%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F%D0%BC-%D0%B2%D0%B8%D0%B4%D1%96%D0%B2-%D1%96-%D0%BD%D0%B0%D0%B7%D0%B2
13,"Інформація про отримане майно (обладнання, програмне забезпечення) у рамках міжнародної технічної допомоги",Управління охорони здоров'я,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D1%89%D0%BE%D0%B4%D0%BE-%D0%BE%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BC%D0%B0%D0%B9%D0%BD%D0%B0-%D0%B2-%D1%80%D0%B0%D0%BC%D0%BA%D0%B0%D1%85-%D0%BC%D1%96%D0%B6%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D1%97-%D1%82%D0%B5%D1%85%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D1%97-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8-1
14,Основні положення генеральних планів населених пунктів та детальних планів територій,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D1%96-%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BF%D0%BB%D0%B0%D0%BD%D1%96%D0%B2-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%85-%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%96%D0%B2-%D1%82%D0%B0-%D0%B4%D0%B5%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BF%D0%BB%D0%B0%D0%BD%D1%96%D0%B2-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97
15,Перелік об’єктів комунальної власності,Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-0
16,"Перелік об’єктів комунальної власності, що передані в оренду чи інше право користування (з даними про умови передачі об’єктів в оренду)",Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D1%87%D0%B8-%D1%96%D0%BD%D1%88%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B7
17,"Перелік об’єктів комунальної власності – земельних ділянок, що передані в оренду чи інше право користування ",Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%E2%80%93-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA-%D1%89%D0%BE-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D1%87%D0%B8-%D1%96%D0%BD%D1%88%D0%B5
18,"Перелік незадіяних земельних ділянок і майнових об’єктів (приміщень) комунальної форми власності, які можуть бути передані в користування",Управління міського майна Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%B2%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B8%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D1%8C-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE-%D0%BC%D0%BE%D0%B6%D1%83%D1%82%D1%8C-%D0%B1%D1%83%D1%82%D0%B8-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D1%83
19,Результати радіаційного контролю,Відділ екологічної безпеки,https://opendata.kremen.gov.ua/dataset/%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8-%D1%80%D0%B0%D0%B4%D1%96%D0%B0%D1%86%D1%96%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8E
20,"Інформація про використання публічних коштів під час будівництва, ремонту та реконструкції об’єктів дорожньої інфраструктури та хід виконання проектів",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D1%87%D0%BD%D0%B8%D1%85-%D0%BA%D0%BE%D1%88%D1%82%D1%96%D0%B2-%D0%BF%D1%96%D0%B4-%D1%87%D0%B0%D1%81-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0-%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83-%D1%82%D0%B0-%D1%80%D0%B5%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D1%96%D1%97
21,"Генеральні плани населених пунктів, історико-архітектурні опорні плани, плани зонування територій та детальні плани територій (за винятком відомостей, які відповідно до законодавства становлять інформацію з обмеженим доступом), їх проекти",Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%85-%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA%D0%BE-%D0%B0%D1%80%D1%85%D1%96%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%BD%D1%96-%D0%BE%D0%BF%D0%BE%D1%80%D0%BD%D1%96-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%B7%D0%BE%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F
22,Дані про місцезнаходження громадського транспорту в режимі реального часу,Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B7%D0%BD%D0%B0%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D0%B2-%D1%80%D0%B5%D0%B6%D0%B8%D0%BC%D1%96-%D1%80%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%87%D0%B0%D1%81%D1%83
23,Паспорти бюджетних програм місцевого бюджету,"Департамент фінансів, кожен окремо",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-2
24,Звіти про виконання паспортів бюджетних програм місцевого бюджету,Управління бухгалтерського обліку та звітності,https://opendata.kremen.gov.ua/dataset/%D0%B7%D0%B2%D1%96%D1%82%D0%B8-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%96%D0%B2-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%B7%D0%B0-2018-%D1%80%D1%96%D0%BA
25,"Титульні списки на проведення капітального та поточного ремонту, будівництва, реконструкції та благоустрою",КВП «Кременчуцьке міське управління капітального будівництва»,https://opendata.kremen.gov.ua/dataset/%D1%82%D0%B8%D1%82%D1%83%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%BD%D0%B0-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D1%80%D0%BE%D0%B1%D1%96%D1%82-%D0%B7-%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0-%D1%80%D0%B5%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D1%96%D1%97-%D1%82%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D0%B3%D0%BE
26,"Інформація про рекламні засоби (дані про місце розміщення рекламного засобу, його вид і розміри, найменування розповсюджувача зовнішньої реклами, номер його телефону, дата видачі дозволу та строк його дії, номер і дата укладення договору, якщо місце розміщення рекламного засобу належить до комунальної власності)",Управління контролю за станом благоустрою Комунальне підприємство «Міськоформлення»,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%BD%D1%96-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-1
27,"Реєстр боргових зобов’язань суб’єктів господарювання комунальної власності територіальної громади (як суб’єктів господарювання перед третіми особами, так і третіх осіб - перед суб’єктами господарюваня)",Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80-%D0%B1%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%B8%D1%85-%D0%B7%D0%BE%D0%B1%D0%BE%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C
28,"Перелік інвестиційних договорів, додатків, додаткових угод та інших матеріалів до них, умов, у тому числі посилань на оприлюднені ресурси в Інтернеті",Комунальне підприємство «Кременчуцький центр міжнародних зв'язків та економічного розвитку міста «Кременчук Інвест»,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%96%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B5%D1%86%D1%96%D0%B9%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D1%96%D0%B2-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%BE%D0%B2%D0%B8%D1%85-%D1%83%D0%B3%D0%BE%D0%B4-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D0%B8%D1%85-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D1%96%D0%B0%D0%BB%D1%96%D0%B2-%D0%B4%D0%BE-%D0%BD%D0%B8%D1%85-%D1%83%D0%BC%D0%BE%D0%B2-%D1%83
29,"Дані про об’єкти та засоби торгівлі (пересувна, сезонна та інші)","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики / Архітектура",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D0%B8-%D1%82%D0%B0-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96-%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D1%83%D0%B2%D0%BD%D0%B0-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%B0-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D1%96 
30,Відомості щодо схем розміщення засобів сезонної торгівлі,"Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE%D0%B4%D0%BE-%D1%81%D1%85%D0%B5%D0%BC-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D1%96%D0%B2-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%BE%D1%97-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96
31,"Відомості про ярмарки (строк проведення, місце, кількість місць, вартість місць), організаторів ярмарків, договори, укладені з організаторами таких ярмарків","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE%D0%B4%D0%BE-%D1%8F%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D1%96%D0%B2
